x,y
-696583.989700179547071,-1097681.092060185968876
-696759.055003181099892,-1097500.474270194768906
-696609.669581435620785,-1097059.933662492781878
-696780.248121511191130,-1096866.620607018470764
-697965.025421641767025,-1096703.737701803445816
-698629.701263681054115,-1096873.967345155775547
-701997.752350747585297,-1099615.083157006651163
-701729.304788250476122,-1099923.561815991997719
-700741.237833727151155,-1100613.063283652067184
-700545.225805427879095,-1100735.977258160710335
-700251.136254865676165,-1100990.726520754396915
-700033.189659047871828,-1101401.555027902126312
-700011.414871562272310,-1101455.460618883371353
-699731.219024017453194,-1102207.408487614244223
-722504.153925694525242,-1086347.461856916546822
-722231.217330172657967,-1086663.644532665610313
-722106.140999265015125,-1087697.157991621643305
-721696.194862052798271,-1088374.061982665210962
-721612.414596520364285,-1088633.900282852351665
-721758.634976699948311,-1089293.915088228881359
-721794.597357682883739,-1089406.611872002482414
-721793.016845066100359,-1089802.882061060518026
-721576.560481786727905,-1090242.161716204136610
-720412.348879605531693,-1092771.676382191479206
-721666.078334666788578,-1090534.406200326979160
-721611.520352225750685,-1091351.568768288940191
-721673.224780246615410,-1091589.975240528583527
-721263.261006109416485,-1091860.617464672774076
-714639.296298336237669,-1088849.887259554117918
-714639.697407327592373,-1088661.348047189414501
-714853.459512606263161,-1087585.506151776760817
-715283.569191042333841,-1086978.546174209564924
-715725.968311153352261,-1086545.343748118728399
-716066.471777476370335,-1085590.412377733737230
-716334.686567537486553,-1085293.983053822070360
-716472.449782028794289,-1084567.159416008740664
-716718.186403226107359,-1084248.941684018820524
-716765.189671553671360,-1083994.288638688623905
-716605.013422574847937,-1083995.791094832122326
-716530.950751427561045,-1083908.164234232157469
-716336.086869239807129,-1083386.627200596034527
-716164.937137383967638,-1083477.898617472499609
-715652.106456432491541,-1083465.264644652605057
-715385.829282991588116,-1083596.953947927802801
-715241.068750951439142,-1083715.538320194929838
-714685.649969171732664,-1083823.984082072973251
-714487.129307094961405,-1083722.864802069962025
-714400.910955477505922,-1083269.680268038064241
-714482.272867314517498,-1082742.286554172635078
-714685.371445510536432,-1082561.907473798841238
-714519.125650890171528,-1082213.563435539603233
-714354.714445326477289,-1081329.526376899331808
-714844.163108859211206,-1080789.330702908337116
-715415.736961286514997,-1079220.349836464971304
-715564.739958699792624,-1078260.154980126768351
-715495.622959673404694,-1077999.213237307965755
-715441.227376606315374,-1077432.331679057329893
-715176.547828838229179,-1077444.597721248865128
-715080.638425532728434,-1077368.983699519187212
-715043.008220437914133,-1077176.064418870955706
-715175.525760516524315,-1076914.512368727475405
-715220.867141917347908,-1076430.609032642096281
-716848.598688624799252,-1073341.500523973256350
-716885.202983692288399,-1073134.599181074649096
-716985.942982576787472,-1072302.329978857189417
-717455.372168846428394,-1072186.293006666004658
-717616.798718385398388,-1071686.040943045169115
-717894.543557740747929,-1071400.770376991480589
-718364.963205568492413,-1071120.998339425772429
-718582.578716211020947,-1070741.697487987577915
-718796.277607966214418,-1070680.151093766093254
-715523.262460045516491,-1075767.639431774616241
-715835.200400322675705,-1075358.989695582538843
-716165.414032753556967,-1075114.448019459843636
-716824.817832309752703,-1074831.962166115641594
-716930.792504355311394,-1074562.679381892085075
-716926.786827746778727,-1074514.649155799299479
-716988.574725553393364,-1074305.225383911281824
-718837.346314217895269,-1070568.791922040283680
-719132.283310119062662,-1069947.403371255844831
-719064.715391576290131,-1069316.075454901903868
-719134.786181334406137,-1068900.580323155969381
-719608.486121900379658,-1067229.002342410385609
-719613.729176964610815,-1066950.358893182128668
-720119.228486597537994,-1066523.479739930480719
-720519.150391474366188,-1066303.025383453816175
-720380.963017757982016,-1066035.138709980994463
-720485.360495019704103,-1065883.052045311778784
-721009.016403935849667,-1065290.944276314228773
-719606.470972675830126,-1066738.730331514030695
-717988.254457689821720,-1070285.050878696143627
-717518.404430031776428,-1069652.539018515497446
-716884.918872099369764,-1069269.780806638300419
-716715.275612723082304,-1069227.103298842906952
-716462.446329824626446,-1069251.621588014066219
-716345.430246565490961,-1069280.869191434234381
-720863.306272111833096,-1081910.129983779042959
-719923.139274939894676,-1081845.336125943809748
-719368.973063815385103,-1082009.187839467078447
-719100.992268551141024,-1082250.320351097732782
-719009.217064369469881,-1082526.820652451366186
-718414.489077512174845,-1082916.044454898685217
-717150.989117305725813,-1082967.130408570170403
-720866.858103588223457,-1102357.922148454934359
-720705.806644216179848,-1101496.859886441379786
-720319.419592127203941,-1101106.450393941253424
-720786.168839477002621,-1100596.145634435117245
-720800.635655127465725,-1099956.930871058255434
-720445.331843253225088,-1099165.172803908586502
-720121.739739716053009,-1098751.108183637261391
-716285.148297362029552,-1094201.932385373860598
-716148.681483898311853,-1093967.021865252405405
-716058.820671480149031,-1093896.826220061630011
-716115.095547091215849,-1093544.558228749781847
-715737.391098961234093,-1092804.197817295789719
-715576.422410886734724,-1092587.677192758768797
-715562.878128457814455,-1092382.988497678190470
-715144.255324464291334,-1091887.370054911822081
-715034.498842474073172,-1091693.543083999305964
-714974.635289940983057,-1090903.890970025211573
-714950.839590672403574,-1090796.348707459867001
-714810.752668149769306,-1090054.686830915510654
-714748.716456457972527,-1089836.069682843983173
-720027.178775086998940,-1098638.262795705348253
-720000.716932114213705,-1098543.948573350906372
-719282.704420775175095,-1096745.415667641907930
-719155.344719745218754,-1096721.839644085615873
-718962.710423801094294,-1096214.869310442358255
-718583.305846311151981,-1096150.850080158561468
-718172.166684877127409,-1095456.119527276605368
-718088.007836718112230,-1095221.477228056639433
-718055.673772074282169,-1095128.153991129249334
-717946.830219045281410,-1094950.518587063997984
-717653.966521821916103,-1094682.205658890306950
-717052.650184437632561,-1094616.919538863003254
-714145.684797514230013,-1089110.589943509548903
-713908.466460049152374,-1088970.724792174994946
-713732.079959560185671,-1088932.067803937941790
-712419.858964741230011,-1088857.858624104410410
-711862.320259947329760,-1089299.367865495383739
-711059.450408522039652,-1089750.067514479160309
-710842.509291838854551,-1089570.006422556936741
-710455.674681045114994,-1089474.425834331661463
-710192.275119744241238,-1089412.920651134103537
-709708.074400719255209,-1088995.206061273813248
-709515.335156366229057,-1088874.559391576796770
-709302.270844530314207,-1088786.392422091215849
-709086.881951544433832,-1088884.948760572820902
-707831.589795406907797,-1083542.736131053417921
